name,category,description,address,area,latitude,longitude,openingHours,entryFee,bestTimeToVisit,duration,amenities,rating,tags,city
Hotel Blue Valley,restaurant,"Popular restaurant in Kodaikanal serving multi-cuisine dishes with mountain views.",Kodaikanal,Dindigul,10.2345,77.4876,"7:00 AM - 10:00 PM","Free entry","All meals","1-2 hours","Mountain View|Family Dining|Parking|Bar",4.3,"multi cuisine|scenic|family|kodaikanal",Kodaikanal
Alps Restaurant,restaurant,"Fine dining restaurant in Kodaikanal offering Indian and Continental cuisine.",Coaker's Walk Road,Kodaikanal,Dindigul,10.2123,77.4765,"12:00 PM - 3:30 PM, 7:00 PM - 10:30 PM","Free entry","Lunch and dinner","2 hours","Valley View|Fine Dining|Bar|Parking",4.4,"fine dining|scenic|continental|kodaikanal",Kodaikanal
Tata Tea Museum Cafe,restaurant,"Cafe inside Tata Tea Museum serving fresh tea and light snacks.",Munnar,Idukki,10.0876,77.0543,"9:00 AM - 4:00 PM","Free entry","Tea time and lunch","1 hour","Tea Garden View|Tea Tasting|Snacks|Shopping",4.2,"tea|cafe|snacks|munnar",Munnar
Saravana Bhavan,restaurant,"Famous South Indian restaurant chain with authentic vegetarian cuisine.",Munnar Town,Idukki,10.0987,77.0456,"7:00 AM - 10:00 PM","Free entry","All meals","1-2 hours","Air Conditioning|Pure Vegetarian|Parking|Home Delivery",4.3,"south indian|vegetarian|family|munnar",Munnar
Arul Jyothi Hotel,restaurant,"Traditional Tamil Nadu cuisine restaurant in Palani.",Palani,Dindigul,10.4567,77.5123,"6:00 AM - 11:00 PM","Free entry","All meals","1-2 hours","Family Dining|Parking|Home Delivery",4.0,"tamil nadu|traditional|family|pilgrimage",Palani
Hotel Sri Ayyappan,restaurant,"Popular restaurant near Palani Murugan Temple serving vegetarian food.",Temple Road,Palani,Dindigul,10.4678,77.5234,"5:30 AM - 10:00 PM","Free entry","All meals","1-2 hours","Family Dining|Pure Vegetarian|Parking",4.1,"vegetarian|temple|family|palani",Palani
Pollachi Green Restaurant,restaurant,"Farm-to-table restaurant serving organic and local cuisine.",Pollachi Town,Coimbatore,10.6678,76.9876,"8:00 AM - 10:00 PM","Free entry","All meals","1-2 hours","Organic Food|Garden View|Parking|Family Dining",4.4,"organic|farm to table|local|pollachi",Pollachi
Chettinadu Restaurant,restaurant,"Authentic Chettinadu cuisine restaurant in Pollachi.",Pollachi Town,Coimbatore,10.6789,76.9987,"11:00 AM - 3:30 PM, 6:30 PM - 10:30 PM","Free entry","Lunch and dinner","2 hours","Air Conditioning|Family Dining|Parking|Spicy Food",4.2,"chettinadu|spicy|traditional|pollachi",Pollachi
Metupalayam Biryani House,restaurant,"Famous for its unique biryani recipes in Metupalayam.",Metupalayam,Coimbatore,11.2987,76.9345,"11:00 AM - 11:00 PM","Free entry","Lunch and dinner","1-2 hours","Biryani|Family Dining|Parking|Takeaway",4.3,"biryani|spicy|traditional|metupalayam",Metupalayam
Erode Parotta Kadai,restaurant,"Traditional restaurant famous for parotta and salna in Erode.",Erode Town,Erode,11.3456,77.7234,"6:00 AM - 11:00 PM","Free entry","All meals","1-2 hours","Parotta|Family Dining|Parking|Takeaway",4.1,"parotta|traditional|erode|family",Erode
Silent Valley Cafe,restaurant,"Eco-friendly cafe near Silent Valley National Park serving organic food.",Mukkali,Palakkad, Kerala,11.1234,76.4567,"7:00 AM - 8:00 PM","Free entry","All meals","1-2 hours","Organic Food|Nature View|Eco Friendly|Parking",4.0,"organic|eco friendly|nature|silent valley",Mukkali
Parambikulam Canteen,restaurant,"Forest department canteen serving simple food near Parambikulam.",Parambikulam,Coimbatore,10.2847,76.7345,"8:00 AM - 8:00 PM","Free entry","All meals","1 hour","Simple Food|Forest View|Basic Facilities|Parking",3.8,"simple|forest|basic|parambikulam",Parambikulam
Topslip Forest Restaurant,restaurant,"Forest department restaurant near Topslip Tiger Reserve.",Topslip,Coimbatore,10.4567,76.8234,"8:00 AM - 8:00 PM","Free entry","All meals","1 hour","Simple Food|Forest View|Basic Facilities",3.9,"simple|forest|wildlife|topslip",Topslip
Aliyar Dam View Restaurant,restaurant,"Restaurant with scenic views of Aliyar Dam serving multi-cuisine food.",Aliyar Dam,Coimbatore,10.6234,76.9456,"9:00 AM - 9:00 PM","Free entry","All meals","1-2 hours","Dam View|Family Dining|Parking|Photography",4.2,"scenic|dam view|family|aliyar",Aliyar
Siruvani Tea Stall,restaurant,"Local tea stall near Siruvani Dam famous for fresh tea and snacks.",Siruvani,Coimbatore,11.0234,76.6789,"7:00 AM - 7:00 PM","Free entry","Tea time","30 minutes","Fresh Tea|Local Snacks|Basic Facilities|Parking",3.7,"tea|local|snacks|siruvani",Siruvani
